OrdemPad,OrdemEns,N,cv,rho,mod,algorithm,Cost,SL,Smax,Smin
218,491,10,0.1,0.7,Low,NM,148353.1393,93.84370622,"[647.1827258441192, 709.4918398895182, 739.5180062481618, 433.8904809732669, 612.5158548212354, 564.0942988203598, 593.0166376138386, 824.185836423183, 835.3666493926144, 438.2420942334582]","[224.4845762606347, 216.43533716511627, 446.23892463856754, 166.6943033978884, 154.06925150917434, 363.8104181517948, 471.8770832152812, 274.7800332793058, 341.368909127601, 237.1562984959014]"
621,492,10,0.5,0.7,High,RD,147059.3344,93.87067542,"[859.8480805287129, 91.73225201511748, 774.494127007957, 369.53535239341437, 636.7563451995007, 188.98829884046398, 237.79252825766127, 575.4367116605036, 176.65039358964552, 60.57885825831588]","[831.9166765428771, 50.508649466729445, 616.5756108475503, 96.43320856622837, 249.16453652632634, 48.40096860350605, 161.52491390628057, 122.21910050700112, 21.91119503797963, 9.658636921887192]"
386,493,3,0.25,0.9,Low,NM,68423.93997,97.38840339,"[513.6863320465618, 701.2963514902054, 364.5623434878993]","[305.91168185464454, 351.9687516770674, 240.45825675382184]"
38,494,3,0.25,0.7,Low,NM,205967.0431,82.09106266,"[410.6830308014655, 689.8749523580645, 332.30327839170593]","[198.94467983747919, 633.5066047151546, 273.9673899519434]"
421,495,3,0.5,0.9,Low,RD,71240.81717,97.49146362,"[749.4662051046239, 785.0435448368505, 830.7916291773387]","[638.6793686364251, 628.2173436164481, 298.34578467429264]"
851,496,5,0.5,0.8,High,GA,115347.3791,93.98904899,"[121.19, 570.4, 902.65, 840.74, 566.69]","[55.303048322031295, 249.96409767253078, 885.9584169374848, 457.4778632446357, 154.4807892472231]"
199,497,5,0.5,0.8,Medium,GA,108920.4325,95.35889877,"[487.4, 42.29, 167.47, 800.76, 185.05]","[377.0205481301005, 5.309705797391518, 89.84996079726871, 199.58050227684095, 76.39103129461706]"
89,498,3,0.5,0.8,Medium,RD,129100.2463,90.52940074,"[818.4650508209622, 597.563268796239, 349.4012814617662]","[454.73920071423134, 374.22625903952337, 191.84118341704104]"
788,499,5,0.1,0.9,Medium,ACO,72245.49212,98.98744573,"[785.0, 975.0, 655.0, 645.0, 640.0]","[725.0, 670.0, 225.0, 550.0, 165.0]"
441,500,5,0.1,0.7,High,RD,194025.5621,86.43267065,"[627.6344581298243, 385.80569210337677, 145.05973665159334, 860.0906014997448, 992.974899843513]","[427.23967159119, 385.2150169088627, 86.06869072439112, 726.6450553909091, 892.4828239642355]"
478,501,5,0.25,0.7,High,NM,115176.1151,95.80835861,"[981.3671340461352, 437.57080457154655, 640.0078936265636, 1425.7145047239733, 904.4658959161021]","[783.4286361181582, 437.57080457154655, 553.08683819111, 960.6936514289526, 0.0]"
775,502,5,0.1,0.8,Medium,GA,114797.4762,96.82163138,"[726.3, 363.36, 60.45, 23.11, 244.55]","[694.7862084044995, 83.44402957718403, 48.63223886809417, 12.50229510812243, 233.9198220255818]"
586,503,10,0.25,0.7,High,NM,120997.9319,97.79426848,"[1002.5968960254878, 704.5953047543339, 396.1546750815311, 336.8052591146733, 561.62336031954, 556.5920396956976, 1145.9455385068588, 560.9513461783547, 121.1312192793665, 954.1478507275897]","[772.6005577307822, 631.4158080395854, 203.851623885887, 154.73031223438338, 430.0855384589754, 284.9828020936497, 444.9465674825218, 213.73879526681674, 86.40955989089383, 509.12710157397015]"
530,504,5,0.5,0.9,Low,NM,58028.99216,99.59786374,"[465.18513555852326, 456.33006615843635, 467.4712987670209, 669.3942857825023, 588.4794844325207]","[182.26642126694088, 132.28529205059897, 180.87486199942515, 348.1703900246945, 377.60744370712905]"
517,505,5,0.5,0.8,Low,RD,108189.3257,94.91540613,"[640.0635104749441, 379.11169747495865, 629.190748041201, 206.21445487863267, 830.4209168865834]","[113.21762777550146, 266.1758172256921, 478.4082405809158, 78.96056455378104, 538.1730670866555]"
118,506,5,0.1,0.7,High,NM,178697.2972,86.86837787,"[1220.177954741508, 471.74011053964995, 341.3517700832764, 924.0193613633492, 498.69417517036584]","[785.1633250482321, 254.97849065586138, 72.25287899860751, 672.0595913367272, 72.91002166972005]"
62,507,3,0.25,0.9,Low,NM,56986.3782,99.49788634,"[358.0509017170508, 889.7061234949899, 884.6361020633124]","[223.83166532488596, 599.223297715008, 684.7154169002457]"
961,508,10,0.5,0.9,Low,RD,111386.5584,99.28518426,"[130.27769735175409, 717.77284742589, 376.4737397464388, 587.3113807066328, 801.6407919351353, 329.44776099383245, 368.2327924035269, 862.5132414845637, 243.56358336371898, 499.1591555199757]","[81.8930535868464, 654.893160512681, 171.54126730322713, 177.52528875423138, 113.02559487053269, 177.22740925408374, 208.16307327769667, 613.2451398941629, 157.40280360409, 210.66298856609149]"
786,509,5,0.1,0.9,Medium,NM,63903.25572,99.36689661,"[704.8186987922206, 898.4454138550262, 563.7782926842985, 353.3502364250708, 570.6226211756004]","[637.1883203326593, 467.70697737314924, 404.4409324497352, 206.50474022001512, 388.11169978207346]"
464,510,5,0.1,0.9,Medium,ACO,78088.75294,98.61570292,"[885.0, 655.0, 810.0, 725.0, 265.0]","[500.0, 205.0, 765.0, 675.0, 110.0]"
534,511,5,0.5,0.9,Medium,NM,,,,
538,512,5,0.5,0.9,High,NM,,,,
655,513,3,0.1,0.7,Medium,GA,,,,
93,514,3,0.5,0.8,High,RD,,,,
673,515,3,0.1,0.9,Low,RD,,,,
100,516,3,0.5,0.9,Low,ACO,,,,
849,517,5,0.5,0.8,High,RD,,,,
467,518,5,0.1,0.9,High,GA,,,,
841,519,5,0.5,0.8,Low,RD,,,,
480,520,5,0.25,0.7,High,ACO,,,,
140,521,5,0.1,0.9,Medium,ACO,,,,
631,522,10,0.5,0.8,Medium,GA,,,,
174,523,5,0.25,0.9,Medium,NM,,,,
429,524,3,0.5,0.9,High,RD,,,,
403,525,3,0.5,0.7,Medium,GA,,,,
636,526,10,0.5,0.8,High,ACO,,,,
450,527,5,0.1,0.8,Medium,NM,,,,
947,528,10,0.5,0.7,High,GA,,,,
505,529,5,0.5,0.7,Low,RD,,,,
418,530,3,0.5,0.8,High,NM,,,,
293,531,10,0.5,0.7,Medium,RD,,,,
143,532,5,0.1,0.9,High,GA,,,,
796,533,5,0.25,0.7,Low,ACO,,,,
103,534,3,0.5,0.9,Medium,GA,,,,
868,535,10,0.1,0.7,Low,ACO,,,,
70,536,3,0.25,0.9,High,NM,,,,
451,537,5,0.1,0.8,Medium,GA,,,,
407,538,3,0.5,0.7,High,GA,,,,
15,539,3,0.1,0.8,Low,GA,,,,
500,540,5,0.25,0.9,Medium,ACO,,,,
61,541,3,0.25,0.9,Low,RD,,,,
558,542,10,0.1,0.8,Medium,NM,,,,
690,543,3,0.25,0.7,Medium,NM,,,,
156,544,5,0.25,0.7,High,ACO,,,,
926,545,10,0.25,0.9,Low,NM,,,,
247,546,10,0.1,0.9,Medium,GA,,,,
25,547,3,0.1,0.9,Low,RD,,,,
520,548,5,0.5,0.8,Low,ACO,,,,
213,549,5,0.5,0.9,High,RD,,,,
233,550,10,0.1,0.8,Medium,RD,,,,
224,551,10,0.1,0.7,Medium,ACO,,,,
874,552,10,0.1,0.7,High,NM,,,,
49,553,3,0.25,0.8,Low,RD,,,,
207,554,5,0.5,0.9,Low,GA,,,,
928,555,10,0.25,0.9,Low,ACO,,,,
209,556,5,0.5,0.9,Medium,RD,,,,
145,557,5,0.25,0.7,Low,RD,,,,
83,558,3,0.5,0.7,High,GA,,,,
469,559,5,0.25,0.7,Low,RD,,,,
781,560,5,0.1,0.9,Low,RD,,,,
196,561,5,0.5,0.8,Low,ACO,,,,
847,562,5,0.5,0.8,Medium,GA,,,,
570,563,10,0.1,0.9,Medium,NM,,,,
532,564,5,0.5,0.9,Low,ACO,,,,
643,565,10,0.5,0.9,Medium,GA,,,,
121,566,5,0.1,0.8,Low,RD,,,,
948,567,10,0.5,0.7,High,ACO,,,,
416,568,3,0.5,0.8,Medium,ACO,,,,
216,569,5,0.5,0.9,High,ACO,,,,
410,570,3,0.5,0.8,Low,NM,,,,
149,571,5,0.25,0.7,Medium,RD,,,,
363,572,3,0.25,0.7,Low,GA,,,,
495,573,5,0.25,0.9,Low,GA,,,,
133,574,5,0.1,0.9,Low,RD,,,,
1,575,3,0.1,0.7,Low,RD,,,,
843,576,5,0.5,0.8,Low,GA,,,,
190,577,5,0.5,0.7,High,NM,,,,
238,578,10,0.1,0.8,High,NM,,,,
248,579,10,0.1,0.9,Medium,ACO,,,,
504,580,5,0.25,0.9,High,ACO,,,,
859,581,5,0.5,0.9,Medium,GA,,,,
428,582,3,0.5,0.9,Medium,ACO,,,,
59,583,3,0.25,0.8,High,GA,,,,
245,584,10,0.1,0.9,Medium,RD,,,,
853,585,5,0.5,0.9,Low,RD,,,,
765,586,5,0.1,0.7,High,RD,,,,
924,587,10,0.25,0.8,High,ACO,,,,
364,588,3,0.25,0.7,Low,ACO,,,,
884,589,10,0.1,0.8,Medium,ACO,,,,
151,590,5,0.25,0.7,Medium,GA,,,,
32,591,3,0.1,0.9,Medium,ACO,,,,
758,592,5,0.1,0.7,Low,NM,,,,
361,593,3,0.25,0.7,Low,RD,,,,
512,594,5,0.5,0.7,Medium,ACO,,,,
172,595,5,0.25,0.9,Low,ACO,,,,
351,596,3,0.1,0.9,Low,GA,,,,
348,597,3,0.1,0.8,High,ACO,,,,
266,598,10,0.25,0.8,Low,NM,,,,
82,599,3,0.5,0.7,High,NM,,,,
341,600,3,0.1,0.8,Medium,RD,,,,
798,601,5,0.25,0.7,Medium,NM,,,,
946,602,10,0.5,0.7,High,NM,,,,
840,603,5,0.5,0.7,High,ACO,,,,
888,604,10,0.1,0.8,High,ACO,,,,
548,605,10,0.1,0.7,Medium,ACO,,,,
274,606,10,0.25,0.8,High,NM,,,,
50,607,3,0.25,0.8,Low,NM,,,,
427,608,3,0.5,0.9,Medium,GA,,,,
740,609,3,0.5,0.8,Medium,ACO,,,,
827,610,5,0.25,0.9,High,GA,,,,
812,611,5,0.25,0.8,Medium,ACO,,,,
733,612,3,0.5,0.8,Low,RD,,,,
882,613,10,0.1,0.8,Medium,NM,,,,
442,614,5,0.1,0.7,High,NM,,,,
669,615,3,0.1,0.8,High,RD,,,,
360,616,3,0.1,0.9,High,ACO,,,,
940,617,10,0.5,0.7,Low,ACO,,,,
617,618,10,0.5,0.7,Medium,RD,,,,
154,619,5,0.25,0.7,High,NM,,,,
703,620,3,0.25,0.8,Medium,GA,,,,
146,621,5,0.25,0.7,Low,NM,,,,
206,622,5,0.5,0.9,Low,NM,,,,
601,623,10,0.25,0.9,Low,RD,,,,
587,624,10,0.25,0.7,High,GA,,,,
484,625,5,0.25,0.8,Low,ACO,,,,
963,626,10,0.5,0.9,Low,GA,,,,
220,627,10,0.1,0.7,Low,ACO,,,,
895,628,10,0.1,0.9,Medium,GA,,,,
795,629,5,0.25,0.7,Low,GA,,,,
528,630,5,0.5,0.8,High,ACO,,,,
318,631,10,0.5,0.9,Medium,NM,,,,
491,632,5,0.25,0.8,High,GA,,,,
958,633,10,0.5,0.8,High,NM,,,,
41,634,3,0.25,0.7,Medium,RD,,,,
55,635,3,0.25,0.8,Medium,GA,,,,
908,636,10,0.25,0.7,Medium,ACO,,,,
47,637,3,0.25,0.7,High,GA,,,,
777,638,5,0.1,0.8,High,RD,,,,
39,639,3,0.25,0.7,Low,GA,,,,
397,640,3,0.5,0.7,Low,RD,,,,
455,641,5,0.1,0.8,High,GA,,,,
952,642,10,0.5,0.8,Low,ACO,,,,
717,643,3,0.25,0.9,High,RD,,,,
252,644,10,0.1,0.9,High,ACO,,,,
277,645,10,0.25,0.9,Low,RD,,,,
704,646,3,0.25,0.8,Medium,ACO,,,,
486,647,5,0.25,0.8,Medium,NM,,,,
259,648,10,0.25,0.7,Medium,GA,,,,
521,649,5,0.5,0.8,Medium,RD,,,,
365,650,3,0.25,0.7,Medium,RD,,,,
162,651,5,0.25,0.8,Medium,NM,,,,
694,652,3,0.25,0.7,High,NM,,,,
112,653,5,0.1,0.7,Low,ACO,,,,
85,654,3,0.5,0.8,Low,RD,,,,
664,655,3,0.1,0.8,Low,ACO,,,,
214,656,5,0.5,0.9,High,NM,,,,
811,657,5,0.25,0.8,Medium,GA,,,,
887,658,10,0.1,0.8,High,GA,,,,
790,659,5,0.1,0.9,High,NM,,,,
726,660,3,0.5,0.7,Medium,NM,,,,
66,661,3,0.25,0.9,Medium,NM,,,,
475,662,5,0.25,0.7,Medium,GA,,,,
722,663,3,0.5,0.7,Low,NM,,,,
572,664,10,0.1,0.9,Medium,ACO,,,,
701,665,3,0.25,0.8,Medium,RD,,,,
721,666,3,0.5,0.7,Low,RD,,,,
727,667,3,0.5,0.7,Medium,GA,,,,
426,668,3,0.5,0.9,Medium,NM,,,,
335,669,3,0.1,0.7,High,GA,,,,
90,670,3,0.5,0.8,Medium,NM,,,,
598,671,10,0.25,0.8,High,NM,,,,
613,672,10,0.5,0.7,Low,RD,,,,
313,673,10,0.5,0.9,Low,RD,,,,
724,674,3,0.5,0.7,Low,ACO,,,,
94,675,3,0.5,0.8,High,NM,,,,
472,676,5,0.25,0.7,Low,ACO,,,,
195,677,5,0.5,0.8,Low,GA,,,,
474,678,5,0.25,0.7,Medium,NM,,,,
244,679,10,0.1,0.9,Low,ACO,,,,
639,680,10,0.5,0.9,Low,GA,,,,
965,681,10,0.5,0.9,Medium,RD,,,,
357,682,3,0.1,0.9,High,RD,,,,
508,683,5,0.5,0.7,Low,ACO,,,,
970,684,10,0.5,0.9,High,NM,,,,
171,685,5,0.25,0.9,Low,GA,,,,
423,686,3,0.5,0.9,Low,GA,,,,
130,687,5,0.1,0.8,High,NM,,,,
718,688,3,0.25,0.9,High,NM,,,,
314,689,10,0.5,0.9,Low,NM,,,,
680,690,3,0.1,0.9,Medium,ACO,,,,
876,691,10,0.1,0.7,High,ACO,,,,
719,692,3,0.25,0.9,High,GA,,,,
51,693,3,0.25,0.8,Low,GA,,,,
763,694,5,0.1,0.7,Medium,GA,,,,
917,695,10,0.25,0.8,Medium,RD,,,,
30,696,3,0.1,0.9,Medium,NM,,,,
186,697,5,0.5,0.7,Medium,NM,,,,
509,698,5,0.5,0.7,Medium,RD,,,,
855,699,5,0.5,0.9,Low,GA,,,,
689,700,3,0.25,0.7,Medium,RD,,,,
569,701,10,0.1,0.9,Medium,RD,,,,
254,702,10,0.25,0.7,Low,NM,,,,
2,703,3,0.1,0.7,Low,NM,,,,
185,704,5,0.5,0.7,Medium,RD,,,,
892,705,10,0.1,0.9,Low,ACO,,,,
971,706,10,0.5,0.9,High,GA,,,,
468,707,5,0.1,0.9,High,ACO,,,,
141,708,5,0.1,0.9,High,RD,,,,
626,709,10,0.5,0.8,Low,NM,,,,
27,710,3,0.1,0.9,Low,GA,,,,
711,711,3,0.25,0.9,Low,GA,,,,
362,712,3,0.25,0.7,Low,NM,,,,
124,713,5,0.1,0.8,Low,ACO,,,,
825,714,5,0.25,0.9,High,RD,,,,
802,715,5,0.25,0.7,High,NM,,,,
392,716,3,0.25,0.9,Medium,ACO,,,,
674,717,3,0.1,0.9,Low,NM,,,,
354,718,3,0.1,0.9,Medium,NM,,,,
605,719,10,0.25,0.9,Medium,RD,,,,
109,720,5,0.1,0.7,Low,RD,,,,
627,721,10,0.5,0.8,Low,GA,,,,
756,722,3,0.5,0.9,High,ACO,,,,
488,723,5,0.25,0.8,Medium,ACO,,,,
113,724,5,0.1,0.7,Medium,RD,,,,
256,725,10,0.25,0.7,Low,ACO,,,,
387,726,3,0.25,0.9,Low,GA,,,,
637,727,10,0.5,0.9,Low,RD,,,,
96,728,3,0.5,0.8,High,ACO,,,,
564,729,10,0.1,0.8,High,ACO,,,,
255,730,10,0.25,0.7,Low,GA,,,,
623,731,10,0.5,0.7,High,GA,,,,
546,732,10,0.1,0.7,Medium,NM,,,,
7,733,3,0.1,0.7,Medium,GA,,,,
875,734,10,0.1,0.7,High,GA,,,,
165,735,5,0.25,0.8,High,RD,,,,
943,736,10,0.5,0.7,Medium,GA,,,,
92,737,3,0.5,0.8,Medium,ACO,,,,
516,738,5,0.5,0.7,High,ACO,,,,
175,739,5,0.25,0.9,Medium,GA,,,,
490,740,5,0.25,0.8,High,NM,,,,
307,741,10,0.5,0.8,Medium,GA,,,,
316,742,10,0.5,0.9,Low,ACO,,,,
14,743,3,0.1,0.8,Low,NM,,,,
545,744,10,0.1,0.7,Medium,RD,,,,
385,745,3,0.25,0.9,Low,RD,,,,
816,746,5,0.25,0.8,High,ACO,,,,
837,747,5,0.5,0.7,High,RD,,,,
898,748,10,0.1,0.9,High,NM,,,,
332,749,3,0.1,0.7,Medium,ACO,,,,
110,750,5,0.1,0.7,Low,NM,,,,
813,751,5,0.25,0.8,High,RD,,,,
913,752,10,0.25,0.8,Low,RD,,,,
492,753,5,0.25,0.8,High,ACO,,,,
591,754,10,0.25,0.8,Low,GA,,,,
616,755,10,0.5,0.7,Low,ACO,,,,
350,756,3,0.1,0.9,Low,NM,,,,
159,757,5,0.25,0.8,Low,GA,,,,
553,758,10,0.1,0.8,Low,RD,,,,
36,759,3,0.1,0.9,High,ACO,,,,
338,760,3,0.1,0.8,Low,NM,,,,
374,761,3,0.25,0.8,Low,NM,,,,
787,762,5,0.1,0.9,Medium,GA,,,,
157,763,5,0.25,0.8,Low,RD,,,,
633,764,10,0.5,0.8,High,RD,,,,
99,765,3,0.5,0.9,Low,GA,,,,
115,766,5,0.1,0.7,Medium,GA,,,,
571,767,10,0.1,0.9,Medium,GA,,,,
170,768,5,0.25,0.9,Low,NM,,,,
676,769,3,0.1,0.9,Low,ACO,,,,
355,770,3,0.1,0.9,Medium,GA,,,,
869,771,10,0.1,0.7,Medium,RD,,,,
902,772,10,0.25,0.7,Low,NM,,,,
257,773,10,0.25,0.7,Medium,RD,,,,
644,774,10,0.5,0.9,Medium,ACO,,,,
75,775,3,0.5,0.7,Low,GA,,,,
297,776,10,0.5,0.7,High,RD,,,,
769,777,5,0.1,0.8,Low,RD,,,,
289,778,10,0.5,0.7,Low,RD,,,,
531,779,5,0.5,0.9,Low,GA,,,,
301,780,10,0.5,0.8,Low,RD,,,,
666,781,3,0.1,0.8,Medium,NM,,,,
870,782,10,0.1,0.7,Medium,NM,,,,
942,783,10,0.5,0.7,Medium,NM,,,,
782,784,5,0.1,0.9,Low,NM,,,,
744,785,3,0.5,0.8,High,ACO,,,,
343,786,3,0.1,0.8,Medium,GA,,,,
792,787,5,0.1,0.9,High,ACO,,,,
97,788,3,0.5,0.9,Low,RD,,,,
646,789,10,0.5,0.9,High,NM,,,,
288,790,10,0.25,0.9,High,ACO,,,,
268,791,10,0.25,0.8,Low,ACO,,,,
201,792,5,0.5,0.8,High,RD,,,,
299,793,10,0.5,0.7,High,GA,,,,
581,794,10,0.25,0.7,Medium,RD,,,,
382,795,3,0.25,0.8,High,NM,,,,
554,796,10,0.1,0.8,Low,NM,,,,
439,797,5,0.1,0.7,Medium,GA,,,,
806,798,5,0.25,0.8,Low,NM,,,,
411,799,3,0.5,0.8,Low,GA,,,,
768,800,5,0.1,0.7,High,ACO,,,,
854,801,5,0.5,0.9,Low,NM,,,,
856,802,5,0.5,0.9,Low,ACO,,,,
496,803,5,0.25,0.9,Low,ACO,,,,
147,804,5,0.25,0.7,Low,GA,,,,
686,805,3,0.25,0.7,Low,NM,,,,
850,806,5,0.5,0.8,High,NM,,,,
116,807,5,0.1,0.7,Medium,ACO,,,,
309,808,10,0.5,0.8,High,RD,,,,
142,809,5,0.1,0.9,High,NM,,,,
846,810,5,0.5,0.8,Medium,NM,,,,
219,811,10,0.1,0.7,Low,GA,,,,
333,812,3,0.1,0.7,High,RD,,,,
670,813,3,0.1,0.8,High,NM,,,,
600,814,10,0.25,0.8,High,ACO,,,,
42,815,3,0.25,0.7,Medium,NM,,,,
939,816,10,0.5,0.7,Low,GA,,,,
857,817,5,0.5,0.9,Medium,RD,,,,
915,818,10,0.25,0.8,Low,GA,,,,
409,819,3,0.5,0.8,Low,RD,,,,
415,820,3,0.5,0.8,Medium,GA,,,,
242,821,10,0.1,0.9,Low,NM,,,,
63,822,3,0.25,0.9,Low,GA,,,,
230,823,10,0.1,0.8,Low,NM,,,,
716,824,3,0.25,0.9,Medium,ACO,,,,
966,825,10,0.5,0.9,Medium,NM,,,,
8,826,3,0.1,0.7,Medium,ACO,,,,
383,827,3,0.25,0.8,High,GA,,,,
487,828,5,0.25,0.8,Medium,GA,,,,
535,829,5,0.5,0.9,Medium,GA,,,,
757,830,5,0.1,0.7,Low,RD,,,,
443,831,5,0.1,0.7,High,GA,,,,
105,832,3,0.5,0.9,High,RD,,,,
585,833,10,0.25,0.7,High,RD,,,,
379,834,3,0.25,0.8,Medium,GA,,,,
305,835,10,0.5,0.8,Medium,RD,,,,
539,836,5,0.5,0.9,High,GA,,,,
622,837,10,0.5,0.7,High,NM,,,,
550,838,10,0.1,0.7,High,NM,,,,
135,839,5,0.1,0.9,Low,GA,,,,
730,840,3,0.5,0.7,High,NM,,,,
211,841,5,0.5,0.9,Medium,GA,,,,
685,842,3,0.25,0.7,Low,RD,,,,
267,843,10,0.25,0.8,Low,GA,,,,
192,844,5,0.5,0.7,High,ACO,,,,
208,845,5,0.5,0.9,Low,ACO,,,,
619,846,10,0.5,0.7,Medium,GA,,,,
263,847,10,0.25,0.7,High,GA,,,,
957,848,10,0.5,0.8,High,RD,,,,
502,849,5,0.25,0.9,High,NM,,,,
191,850,5,0.5,0.7,High,GA,,,,
728,851,3,0.5,0.7,Medium,ACO,,,,
629,852,10,0.5,0.8,Medium,RD,,,,
489,853,5,0.25,0.8,High,RD,,,,
817,854,5,0.25,0.9,Low,RD,,,,
444,855,5,0.1,0.7,High,ACO,,,,
177,856,5,0.25,0.9,High,RD,,,,
541,857,10,0.1,0.7,Low,RD,,,,
197,858,5,0.5,0.8,Medium,RD,,,,
67,859,3,0.25,0.9,Medium,GA,,,,
611,860,10,0.25,0.9,High,GA,,,,
599,861,10,0.25,0.8,High,GA,,,,
580,862,10,0.25,0.7,Low,ACO,,,,
459,863,5,0.1,0.9,Low,GA,,,,
667,864,3,0.1,0.8,Medium,GA,,,,
687,865,3,0.25,0.7,Low,GA,,,,
158,866,5,0.25,0.8,Low,NM,,,,
709,867,3,0.25,0.9,Low,RD,,,,
710,868,3,0.25,0.9,Low,NM,,,,
576,869,10,0.1,0.9,High,ACO,,,,
281,870,10,0.25,0.9,Medium,RD,,,,
290,871,10,0.5,0.7,Low,NM,,,,
931,872,10,0.25,0.9,Medium,GA,,,,
540,873,5,0.5,0.9,High,ACO,,,,
399,874,3,0.5,0.7,Low,GA,,,,
497,875,5,0.25,0.9,Medium,RD,,,,
620,876,10,0.5,0.7,Medium,ACO,,,,
276,877,10,0.25,0.8,High,ACO,,,,
649,878,3,0.1,0.7,Low,RD,,,,
282,879,10,0.25,0.9,Medium,NM,,,,
76,880,3,0.5,0.7,Low,ACO,,,,
29,881,3,0.1,0.9,Medium,RD,,,,
819,882,5,0.25,0.9,Low,GA,,,,
519,883,5,0.5,0.8,Low,GA,,,,
950,884,10,0.5,0.8,Low,NM,,,,
9,885,3,0.1,0.7,High,RD,,,,
164,886,5,0.25,0.8,Medium,ACO,,,,
202,887,5,0.5,0.8,High,NM,,,,
169,888,5,0.25,0.9,Low,RD,,,,
774,889,5,0.1,0.8,Medium,NM,,,,
437,890,5,0.1,0.7,Medium,RD,,,,
808,891,5,0.25,0.8,Low,ACO,,,,
568,892,10,0.1,0.9,Low,ACO,,,,
911,893,10,0.25,0.7,High,GA,,,,
462,894,5,0.1,0.9,Medium,NM,,,,
396,895,3,0.25,0.9,High,ACO,,,,
111,896,5,0.1,0.7,Low,GA,,,,
735,897,3,0.5,0.8,Low,GA,,,,
279,898,10,0.25,0.9,Low,GA,,,,
483,899,5,0.25,0.8,Low,GA,,,,
286,900,10,0.25,0.9,High,NM,,,,
482,901,5,0.25,0.8,Low,NM,,,,
320,902,10,0.5,0.9,Medium,ACO,,,,
527,903,5,0.5,0.8,High,GA,,,,
166,904,5,0.25,0.8,High,NM,,,,
665,905,3,0.1,0.8,Medium,RD,,,,
347,906,3,0.1,0.8,High,GA,,,,
52,907,3,0.25,0.8,Low,ACO,,,,
809,908,5,0.25,0.8,Medium,RD,,,,
271,909,10,0.25,0.8,Medium,GA,,,,
909,910,10,0.25,0.7,High,RD,,,,
574,911,10,0.1,0.9,High,NM,,,,
463,912,5,0.1,0.9,Medium,GA,,,,
883,913,10,0.1,0.8,Medium,GA,,,,
923,914,10,0.25,0.8,High,GA,,,,
536,915,5,0.5,0.9,Medium,ACO,,,,
317,916,10,0.5,0.9,Medium,RD,,,,
400,917,3,0.5,0.7,Low,ACO,,,,
925,918,10,0.25,0.9,Low,RD,,,,
3,919,3,0.1,0.7,Low,GA,,,,
912,920,10,0.25,0.7,High,ACO,,,,
72,921,3,0.25,0.9,High,ACO,,,,
77,922,3,0.5,0.7,Medium,RD,,,,
461,923,5,0.1,0.9,Medium,RD,,,,
278,924,10,0.25,0.9,Low,NM,,,,
675,925,3,0.1,0.9,Low,GA,,,,
582,926,10,0.25,0.7,Medium,NM,,,,
885,927,10,0.1,0.8,High,RD,,,,
226,928,10,0.1,0.7,High,NM,,,,
446,929,5,0.1,0.8,Low,NM,,,,
618,930,10,0.5,0.7,Medium,NM,,,,
381,931,3,0.25,0.8,High,RD,,,,
815,932,5,0.25,0.8,High,GA,,,,
148,933,5,0.25,0.7,Low,ACO,,,,
188,934,5,0.5,0.7,Medium,ACO,,,,
844,935,5,0.5,0.8,Low,ACO,,,,
377,936,3,0.25,0.8,Medium,RD,,,,
23,937,3,0.1,0.8,High,GA,,,,
692,938,3,0.25,0.7,Medium,ACO,,,,
73,939,3,0.5,0.7,Low,RD,,,,
793,940,5,0.25,0.7,Low,RD,,,,
563,941,10,0.1,0.8,High,GA,,,,
466,942,5,0.1,0.9,High,NM,,,,
663,943,3,0.1,0.8,Low,GA,,,,
723,944,3,0.5,0.7,Low,GA,,,,
779,945,5,0.1,0.8,High,GA,,,,
370,946,3,0.25,0.7,High,NM,,,,
547,947,10,0.1,0.7,Medium,GA,,,,
852,948,5,0.5,0.8,High,ACO,,,,
6,949,3,0.1,0.7,Medium,NM,,,,
522,950,5,0.5,0.8,Medium,NM,,,,
804,951,5,0.25,0.7,High,ACO,,,,
393,952,3,0.25,0.9,High,RD,,,,
889,953,10,0.1,0.9,Low,RD,,,,
659,954,3,0.1,0.7,High,GA,,,,
104,955,3,0.5,0.9,Medium,ACO,,,,
575,956,10,0.1,0.9,High,GA,,,,
507,957,5,0.5,0.7,Low,GA,,,,
610,958,10,0.25,0.9,High,NM,,,,
542,959,10,0.1,0.7,Low,NM,,,,
253,960,10,0.25,0.7,Low,RD,,,,
914,961,10,0.25,0.8,Low,NM,,,,
161,962,5,0.25,0.8,Medium,RD,,,,
725,963,3,0.5,0.7,Medium,RD,,,,
212,964,5,0.5,0.9,Medium,ACO,,,,
460,965,5,0.1,0.9,Low,ACO,,,,
886,966,10,0.1,0.8,High,NM,,,,
150,967,5,0.25,0.7,Medium,NM,,,,
10,968,3,0.1,0.7,High,NM,,,,
524,969,5,0.5,0.8,Medium,ACO,,,,
732,970,3,0.5,0.7,High,ACO,,,,
533,971,5,0.5,0.9,Medium,RD,,,,
972,972,10,0.5,0.9,High,ACO,,,,
