OrdemPad,OrdemEns,N,cv,rho,mod,algorithm,Cost,SL,Smax,Smin
225,415,10,0.1,0.7,High,RD,151198.0853,94.52149562,"[906.6837898921391, 493.9086174643973, 749.1495587249445, 863.6971028037741, 496.4713079071523, 448.63567622200617, 202.38979256058232, 186.78010481009056, 866.1168352823753, 671.6076289538262]","[750.8892595555542, 463.9221326505011, 212.52970683067574, 626.7238010369695, 326.8160907117709, 443.77469455004837, 193.8667482458952, 138.7391211985351, 377.4302798679642, 269.4098582165265]"
452,416,5,0.1,0.8,Medium,ACO,123193.9428,93.53881199,"[835.0, 720.0, 505.0, 770.0, 120.0]","[730.0, 545.0, 160.0, 765.0, 35.0]"
814,417,5,0.25,0.8,High,NM,103419.0189,95.77781281,"[1006.859775403659, 573.5528914315835, 884.4224584539475, 936.1429193920457, 115.7133605699456]","[962.1993842620925, 221.7331881763791, 409.3816140575278, 541.7491586289216, 67.08660669357812]"
831,418,5,0.5,0.7,Low,GA,155926.207,90.3650994,"[581.51, 55.7, 291.48, 233.77, 214.3]","[58.78720576473614, 33.54098610114079, 199.2100993882241, 91.75693594440918, 141.90577885421465]"
523,419,5,0.5,0.8,Medium,GA,97504.03328,95.79593596,"[277.04, 291.38, 468.06, 401.76, 621.96]","[140.26277208515384, 154.84260348908103, 221.6191101887533, 12.803434377708914, 420.60984014078366]"
447,420,5,0.1,0.8,Low,GA,150716.6978,91.49679414,"[354.05, 3.79, 42.47, 343.51, 942.37]","[253.8595817762163, 0.8789835748054489, 2.888178698881997, 294.8796539188817, 172.4131321628087]"
321,421,10,0.5,0.9,High,RD,123297.2073,98.04058083,"[895.3063564757521, 785.3284506085247, 133.79344933147053, 560.2299298578267, 218.26805454584363, 117.5515706814313, 779.2886139694225, 29.449089302579278, 122.37063448719721, 231.21009169963037]","[782.6351578829715, 745.7819717139483, 9.341969452859747, 528.9933630413952, 151.6841648451028, 24.64122030776518, 448.1603640184611, 18.30711345731083, 14.687053768997782, 143.498203739913]"
658,422,3,0.1,0.7,High,NM,280000.5834,74.7641957,"[398.46079797770926, 433.4970528367626, 385.92933837071314]","[215.930829187035, 267.8155514283039, 211.19305270003454]"
783,423,5,0.1,0.9,Low,GA,76467.35386,98.23778187,"[406.72, 651.6, 864.18, 791.0, 583.02]","[253.4998906894893, 132.42040278441402, 789.1931341747054, 373.6486133127125, 318.5270236405896]"
797,424,5,0.25,0.7,Medium,RD,157679.0098,90.92062793,"[964.0631238456, 393.2636091128737, 933.3282602064306, 978.2887373792316, 968.6437287655149]","[785.0961064372907, 217.8336765369081, 694.3214427096235, 959.2535035060433, 761.9510917495287]"
