OrdemPad;OrdemEns;N;cv;rho;p;algorithm;Cost;SL;Smax;Smin
740;609;20;0,5;0,8;0,05;ACO;170394,12;99,08;[565.0, 875.0, 80.0, 285.0, 635.0, 295.0, 635.0, 315.0, 460.0, 595.0, 835.0, 485.0, 325.0, 310.0, 530.0, 325.0, 75.0, 635.0, 220.0, 940.0];[230.0, 850.0, 40.0, 60.0, 370.0, 105.0, 235.0, 50.0, 460.0, 285.0, 425.0, 110.0, 245.0, 105.0, 300.0, 195.0, 40.0, 180.0, 100.0, 30.0]
827;610;5;0,25;0,9;0,15;GA;84264,64;98,69;[729.04, 377.7, 673.92, 133.17, 369.88];[604.4192118060336, 92.19272881903362, 612.7833496162671, 51.19227235470747, 301.2509239801126]
812;611;5;0,25;0,8;0,05;ACO;129350,25;92,82;[840.0, 455.0, 565.0, 890.0, 205.0];[200.0, 175.0, 445.0, 805.0, 105.0]
733;612;20;0,5;0,8;0;RD;161946,05;99,12;[283.0794424212879, 86.07098703943494, 151.6877707298925, 377.2285415591554, 240.0479149917988, 372.7659349607584, 256.7017827677328, 597.6544618596114, 615.9176355714579, 392.96767495274634, 927.9737904286076, 141.93168976767933, 375.2485601250606, 513.415758503552, 665.366071430544, 320.4763717672499, 542.4773915750866, 943.8107603426956, 274.2783364325685, 382.3132998594272];[37.50751279066553, 11.077036076654132, 68.46933437856153, 59.500525023397024, 140.27769324607888, 238.7498605778855, 77.78745739760647, 405.12147420955705, 459.6166767263393, 230.63530928006912, 249.62940389473448, 132.0462272640661, 199.293934384202, 213.63864904317788, 145.59779420321274, 7.756139735194234, 31.373607396957407, 636.268796488697, 169.00711954485536, 183.77570158201894]
882;613;10;0,1;0,8;0,05;NM;100330,35;98,76;[469.6339466607035, 543.1567044949426, 572.4671032707953, 561.5211160887034, 656.2290560971841, 590.4422339473729, 529.1811384011993, 391.43124930540705, 550.6415055641678, 531.8610212941244];[220.19238550013176, 401.32404013181315, 394.6365461459099, 199.39936873760215, 320.02914356067214, 255.44159275869424, 215.50898527781956, 198.92132207664673, 321.36531189420595, 262.68115787133604]
442;614;5;0,1;0,7;0,15;NM;195884,03;86,7;[174.16339578972696, 1218.2055204515768, 679.4500018824845, 917.7188770198313, 950.0648040372334];[171.22235289979227, 241.08983854932683, 423.9964005826426, 758.5295806735116, 583.9708343364933]
669;615;20;0,1;0,8;0,15;RD;168215,87;98,72;[487.71764011274286, 271.2961934192254, 986.0239833202362, 630.1260039462265, 740.7582530680838, 547.2733213202756, 359.68904776736474, 360.58806393394826, 406.909827373769, 79.46693599330779, 727.0717455856076, 925.4036380347171, 627.6937925995138, 303.04356665335865, 560.6779610655236, 36.801436546108235, 89.71851337829473, 988.2956768105995, 53.62698006739108, 118.58655055583178];[209.74948491861727, 178.2804129899077, 751.4541867515394, 218.39286274346648, 72.8518646490548, 214.40540636848777, 204.9227564396588, 168.6101605543374, 274.0913705428113, 10.687012294181018, 201.15998479232576, 730.1352304411951, 313.52981795787974, 100.25801616337374, 48.01087336857595, 14.14152879813918, 11.991203522459696, 754.0273070202413, 17.950632247344064, 23.07119842992489]
360;616;20;0,1;0,9;0,15;ACO;185022,80;99,21;[350.0, 220.0, 490.0, 335.0, 155.0, 770.0, 685.0, 455.0, 525.0, 495.0, 85.0, 600.0, 970.0, 440.0, 645.0, 570.0, 230.0, 105.0, 335.0, 815.0];[225.0, 120.0, 310.0, 65.0, 15.0, 610.0, 175.0, 150.0, 15.0, 390.0, 45.0, 565.0, 240.0, 340.0, 515.0, 110.0, 35.0, 35.0, 260.0, 80.0]
940;617;10;0,5;0,7;0;ACO;126789,42;98,13;[190.0, 645.0, 925.0, 770.0, 910.0, 555.0, 335.0, 630.0, 260.0, 765.0];[165.0, 565.0, 890.0, 295.0, 470.0, 520.0, 210.0, 110.0, 165.0, 640.0]
617;618;10;0,5;0,7;0,05;RD;132584,65;98,79;[578.6300234797586, 791.8379914056684, 336.6499802158397, 652.1936181001975, 559.5906909766991, 834.1686882740634, 845.9161595844414, 636.5369969984991, 565.8054180377125, 549.5928975243428];[534.2437682930828, 780.5113666607937, 325.99110917753904, 146.63385233575, 411.1025564125016, 479.4712840321486, 288.1268172199979, 571.7081949215253, 547.4770919910337, 337.7986205191008]
154;619;5;0,25;0,7;0,15;NM;195505,79;86,36;[987.5326004080001, 467.46049854239993, 66.94377547200003, 591.29392452, 661.5383171936];[865.4571165178767, 386.7113406022255, 50.69562297874818, 64.6372594102954, 541.5630618665097]
703;620;20;0,25;0,8;0,05;GA;163179,17;97,72;[881.25, 429.34, 125.06, 258.91, 547.22, 215.09, 195.07, 954.32, 258.53, 615.77, 807.83, 179.51, 46.79, 973.52, 417.84, 986.22, 272.1, 77.06, 986.56, 368.01];[133.45514633655273, 320.5097198316667, 61.07314133553414, 42.048257701043276, 418.47929705365834, 180.2036905570784, 117.12100527704644, 805.2210217991783, 60.11921853738671, 144.11202901452788, 432.86914516732816, 60.709680522554365, 46.35175997188557, 186.62091361529608, 146.2777781446921, 126.5928322950479, 253.74038337819707, 5.099857767378688, 614.4180535868882, 363.0226758267849]
146;621;5;0,25;0,7;0;NM;208760,96;82,99;[685.4335134540437, 217.18284803034604, 375.29496366429345, 605.7783774852816, 689.2805311348517];[375.6689795650408, 129.5678702674638, 230.37665298815133, 362.5514547896024, 316.7444301668967]
206;622;5;0,5;0,9;0;NM;78061,35;100;[923.9851611266338, 1012.4954516118247, 330.51279300804674, 470.7749811850513, 1074.5698146933014];[709.5056201358822, 498.95651306386236, 283.89910761533383, 209.6412509280111, 807.3760511086003]
